L_function,N_terms,M_total,M_0,M_1,M_2,M_3,M_4,M_geq5,frac_0,frac_1,frac_2,frac_3,frac_4,frac_geq5
zeta,10000,14049.610398243483,500.0,1965.74700772074,6483.537674305455,4759.568118168202,337.9223951132758,2.83520293581297,0.03558817546019,0.1399146988422185,0.4614745527118703,0.3387686906081932,0.0240520829784378,0.0002017993990899
zeta,50000,52555.77664080964,500.0,3208.301641106254,21414.20007251949,24096.36573364937,3301.8616691086822,35.047524425834375,0.0095137020506276,0.0610456518040493,0.4074566382849593,0.4584912881857884,0.0628258562645762,0.0006668634099989
zeta,100000,98775.23293998333,500.0,4480.038022291646,37384.58076182486,48011.97243412399,8267.691144528528,130.95057721430686,0.0050619976801654,0.0453558841517868,0.3784813221806326,0.4860729861634087,0.083702066787856,0.0013257430361503
L(Δ),10000,2161.0199216103542,500.0,976.3038593443137,566.1920776118553,113.40989357089992,5.078208354921522,0.0358827283635872,0.2313722307693529,0.451779203690445,0.2620022480819792,0.052479800133628,0.0023499127907795,1.6604533815147853e-05
L(Δ),50000,2348.222813715709,500.0,1033.094242138206,641.38920664528,159.0916051487542,14.413874724880426,0.2338850585889389,0.2129269833678283,0.4399472810263221,0.2731381378713283,0.0677497911269398,0.0061382057276211,9.960087996030113e-05
L(Δ),100000,2428.171224187416,500.0,1050.8612956150264,676.6089108646144,181.3085253680784,18.942435904298137,0.4500564353981997,0.2059162858942636,0.4327789099661601,0.2786495878564085,0.0746687562895211,0.0078011120944064,0.00018534789924
L_DH,10000,2025.6898693381709,500.0,618.47871745761,717.7694267064708,168.57113023499926,20.71694901440356,0.1536459246873944,0.246829491309723,0.3053175744319035,0.3543333249432594,0.0832166526508198,0.0102271079734293,7.584869086480315e-05
L_DH,50000,2186.052439054576,500.0,639.0664914412771,784.0068963251387,226.64796782493028,34.94277428792376,1.3883091753059045,0.2287227840775128,0.2923381342661938,0.3586404801269113,0.1036791084128572,0.0159844172370521,0.0006350758794726
L_DH,100000,2238.888403094056,500.0,644.8083164040538,800.8888861836557,246.5697205471945,44.39866480963434,2.222815149517187,0.2233251104918939,0.2880037770140549,0.3577171979973895,0.1101304201703152,0.0198306734486083,0.0009928208777379
zeta,1000000,884001.8716156872,499.99999999992417,21169.883300409063,264592.121328995,453548.6376603856,137448.7416416956,6742.487684201951,0.0005656096622126,0.023947781085256,0.299311720738103,0.5130629834882999,0.1554846726630578,0.0076272323630703
L(Δ),1000000,2676.505424347233,499.99999999992417,1098.486339783951,781.9740041611624,257.5192592026245,36.47959299869583,2.046228200875364,0.1868107553422456,0.4104181257364193,0.2921623087507384,0.0962147346536502,0.0136295606453301,0.0007645148716163
L_DH,1000000,2432.632471267429,499.99999999992417,663.1105993508816,873.4315091524261,319.30726826021885,71.48243011473448,5.300664389243929,0.2055386524292419,0.2725897180042957,0.359047870760912,0.1312599712581556,0.0293848047163044,0.00217898283109
L(χ₄ mod 5),10000,2749.0609515900096,500.000000000015,1449.6212513843918,1167.0078153563047,356.59834224475856,37.250622842539755,0.2550596300593688,0.14242039681585597,0.4129112677097132,0.3324114323004902,0.1015737548127468,0.010610496973744284,7.265138744951929e-05
L(χ₄ mod 5),50000,2749.043162722106,500.000000000015,1489.205492890052,1300.040567790761,470.4750698147155,62.46506973623977,2.1992492112273094,0.1307399598209526,0.389397332611163,0.33993450319713486,0.12301978344866786,0.01633336141505749,0.000575059507024223
L(χ₄ mod 5),100000,2749.0405097524954,500.000000000015,1503.2183723987227,1343.3938779450486,504.4013364754614,78.59991150224766,3.904180319248222,0.12711268662018413,0.3821562517848327,0.34152481002939544,0.1282316180284109,0.019982091838318228,0.0009925416988585496
L(χ₄ mod 5),1000000,2749.039568144578,500.000000000015,1535.1148966994083,1462.2707331561423,633.0481556665875,127.85147483225359,9.166127772341502,0.11716595094466824,0.35972639336221385,0.342656681977583,0.14834337830488373,0.02995967925679772,0.0021479161538533868
